Product_ID,Product_Name,Product_Category,Price,Image_URL,Details,Ingredients,Nutrition_Code,Zip_Code,Store,Category
78957463,Wegmans Food You Feel Good About Watermelon Chunks, Fresh Cut Fruit,$6.08 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76363a52-bcfa-45e1-ab57-b0662bd8df2d.jpeg",NA,NA,NA,02452,Wegmans,Produce
78965284,"Wegmans Food You Feel Good About Mango Spears, FAMILY PACK", Fresh Cut Fruit,$13.79 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1d81e670-0182-460f-92be-db3e539b4d58.jpeg",Product of Peru.,NA,NA,02452,Wegmans,Produce
79001198,Wegmans Food You Feel Good About Pineapple Chunks, Fresh Cut Fruit,$6.34 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_02ce3d77-9526-4d50-9892-203d705d07e3.jpeg",Product of Costa Rica.,NA,NA,02452,Wegmans,Produce
78964398,"Wegmans Food You Feel Good About Watermelon Chunks, FAMILY PACK", Fresh Cut Fruit,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b1857c24-fba6-4adb-93e5-4948519c7427.jpeg",Product of USA,NA,NA,02452,Wegmans,Produce
78965310,"Wegmans Pineapple Spears, FAMILY PACK", Fresh Cut Fruit,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0205dd21-2bd0-444d-8c0c-78211a155106.jpeg",NA,NA,NA,02452,Wegmans,Produce
79033623,Wegmans Food You Feel Good About Small Cantaloupe Chunks, Fresh Cut Fruit,$8.69 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4b22988d-8d2d-4ceb-9cbf-5d09b7127877.jpeg",NA,NA,NA,02452,Wegmans,Produce
79021459,Wegmans Seedless Cut Watermelon, Fresh Cut Fruit,$4.81 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_568d0c1f-1eea-4591-b3f9-58cc38d72596.jpeg",It's a great way to enjoy a nice sweet taste of summer.,NA,NA,02452,Wegmans,Produce
78965672,"Wegmans Food You Feel Good About Apples, Grapes & Cheese Bites", Fresh Cut Fruit,$2.29 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2d12ec9f-be39-4ee1-ba67-1eae917b3739.jpeg",NA,NA,NA,02452,Wegmans,Produce
78965206,Wegmans Food You Feel Good About Tropical Fruit Bowl, Fresh Cut Fruit,$13.79 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ff675370-f519-460d-82a3-6982202bc973.jpeg",NA,NA,NA,02452,Wegmans,Produce
78966567,Wegmans Melon Spear Trio, Fresh Cut Fruit,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f0bc6d01-bd9c-4b8b-b32b-160a9beafc3a.jpeg",NA,NA,NA,02452,Wegmans,Produce
79175080,"Wegmans Food You Feel Good About Fruit Bowl, FAMILY PACK", Fresh Cut Fruit,$13.79 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_81c87dc1-4ac8-4b4b-a3b6-fac33279f603.jpeg",NA,NA,NA,02452,Wegmans,Produce
79944285,Wegmans Food You Feel Good About Mango Chunks, Fresh Cut Fruit,$10.39 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1cd77744-8481-4190-9004-3299a1b7d8de.jpeg",Choose slightly firm mangos with sweet aroma. Avoid sap on skin.,NA,NA,02452,Wegmans,Produce
